No.;Time;Source;Destination;Protocol;Length;Info
4499;60.319166;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4500;60.31967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4501;60.31967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4502;60.31967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4503;60.319908;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4504;60.321798;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4505;60.322967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4506;60.322967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4507;60.322967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4508;60.322967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4509;60.322967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4510;60.322967;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4511;60.323389;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4512;60.323644;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4513;60.334579;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4514;60.334691;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4515;60.334691;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4516;60.334691;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4517;60.334775;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4518;60.334809;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4519;60.33484;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4520;60.334879;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4521;60.334891;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4522;60.334891;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4523;60.334891;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
